City,Date,PM2.5,NO2,AQI,AQI_Bucket
Delhi,01/01/2015,313.22,36.39,472,Severe
Delhi,02/01/2015,186.18,32.87,454,Severe
Delhi,03/01/2015,87.18,30.31,143,Moderate
Delhi,04/01/2015,151.84,36.91,319,Very Poor
Delhi,05/01/2015,146.6,34.92,325,Very Poor
Delhi,06/01/2015,149.58,37.84,318,Very Poor
Delhi,07/01/2015,217.87,40.15,353,Very Poor
Delhi,08/01/2015,229.9,43.16,383,Very Poor
Delhi,09/01/2015,201.66,38.56,375,Very Poor
Delhi,10/01/2015,221.02,46.39,376,Very Poor
Delhi,11/01/2015,205.41,47.29,379,Very Poor
Delhi,12/01/2015,212.41,44.71,375,Very Poor
Delhi,13/01/2015,197.61,45.88,366,Very Poor
Delhi,14/01/2015,164.39,41.17,353,Very Poor
Delhi,15/01/2015,166.19,56.7,340,Very Poor
Delhi,16/01/2015,174.98,49.41,356,Very Poor
Delhi,17/01/2015,196.46,53.04,360,Very Poor
Delhi,18/01/2015,201.51,53.77,370,Very Poor
Delhi,19/01/2015,183.35,39.88,362,Very Poor
Delhi,20/01/2015,165.63,34.23,340,Very Poor
Delhi,21/01/2015,159.54,22.56,338,Very Poor
Delhi,22/01/2015,143.68,21.82,332,Very Poor
Delhi,23/01/2015,128.73,17.35,254,Poor
Delhi,24/01/2015,164.98,15.77,324,Very Poor
Delhi,25/01/2015,148.59,20.83,333,Very Poor
Delhi,26/01/2015,129.34,25.66,292,Poor
Delhi,27/01/2015,154.2,30.39,318,Very Poor
Delhi,28/01/2015,134.6,28.6,295,Poor
Delhi,29/01/2015,173.13,38.34,327,Very Poor
Delhi,30/01/2015,178.04,38.43,345,Very Poor
Delhi,31/01/2015,158.59,41.36,334,Very Poor
Delhi,01/02/2015,211.59,58.17,358,Very Poor
Delhi,02/02/2015,163.64,37.25,349,Very Poor
Delhi,03/02/2015,157.71,31.05,334,Very Poor
Delhi,04/02/2015,137.26,29.69,313,Very Poor
Delhi,05/02/2015,131.76,36.51,262,Poor
Delhi,06/02/2015,151.6,67,303,Very Poor
Delhi,07/02/2015,160.75,57.69,329,Very Poor
Delhi,08/02/2015,145.34,50.39,323,Very Poor
Delhi,09/02/2015,134.67,39.18,266,Poor
Delhi,10/02/2015,153.07,42.2,319,Very Poor
Delhi,11/02/2015,116.91,53.63,334,Very Poor
Delhi,12/02/2015,177.98,42.73,342,Very Poor
Delhi,13/02/2015,167.01,44.61,341,Very Poor
Delhi,14/02/2015,193.96,53.81,377,Very Poor
Delhi,15/02/2015,184.06,58.15,391,Very Poor
Delhi,16/02/2015,152.62,44.22,358,Very Poor
Delhi,17/02/2015,161.27,25.4,327,Very Poor
Delhi,18/02/2015,188.2,60.29,365,Very Poor
Delhi,19/02/2015,159.97,40.51,352,Very Poor
Delhi,20/02/2015,144.12,34.71,317,Very Poor
Delhi,21/02/2015,155.38,45.11,320,Very Poor
Delhi,22/02/2015,124.1,31.83,279,Poor
Delhi,23/02/2015,141.39,38.23,281,Poor
Delhi,24/02/2015,170.16,48.4,354,Very Poor
Delhi,25/02/2015,148.19,29.28,340,Very Poor
Delhi,26/02/2015,140.78,20.95,323,Very Poor
Delhi,27/02/2015,130.42,24.75,315,Very Poor
Delhi,28/02/2015,105.86,20.65,310,Very Poor
Delhi,01/03/2015,71.83,21.42,324,Very Poor
Delhi,02/03/2015,53.71,13.43,226,Poor
Delhi,03/03/2015,83.49,23.75,266,Poor
Delhi,04/03/2015,91.07,24.28,200,Moderate
Delhi,05/03/2015,106.57,31.12,275,Poor
Delhi,06/03/2015,101.75,26.59,322,Very Poor
Delhi,07/03/2015,77.57,19.15,216,Poor
Delhi,08/03/2015,63.24,20.35,108,Moderate
Delhi,09/03/2015,76.62,18.21,197,Moderate
Delhi,10/03/2015,86.7,18.82,238,Poor
Delhi,11/03/2015,104.29,25.63,274,Poor
Delhi,12/03/2015,115.93,32.29,315,Very Poor
Delhi,13/03/2015,108.66,30.75,307,Very Poor
Delhi,14/03/2015,67.94,29.78,208,Poor
Delhi,15/03/2015,38.89,17.76,165,Moderate
Delhi,16/03/2015,45.39,17.14,188,Moderate
Delhi,17/03/2015,55.55,20.96,217,Poor
Delhi,18/03/2015,50.59,16.6,191,Moderate
Delhi,19/03/2015,69.51,23.77,240,Poor
Delhi,20/03/2015,96.62,29.04,229,Poor
Delhi,21/03/2015,96.28,29.21,248,Poor
Delhi,22/03/2015,72.2,20.27,204,Poor
Delhi,23/03/2015,78.47,23.04,271,Poor
Delhi,24/03/2015,91.87,30.01,290,Poor
Delhi,25/03/2015,107.26,33.82,340,Very Poor
Delhi,26/03/2015,109.78,33.02,358,Very Poor
Delhi,27/03/2015,62.27,24.76,287,Poor
Delhi,28/03/2015,102.22,29.41,323,Very Poor
Delhi,29/03/2015,104.36,33.86,360,Very Poor
Delhi,30/03/2015,44.19,17.6,268,Poor
Delhi,31/03/2015,55.66,20.13,283,Poor
Delhi,01/04/2015,112.86,32.71,309,Very Poor
Delhi,02/04/2015,78.51,20.54,249,Poor
Delhi,03/04/2015,66.52,18.47,245,Poor
Delhi,04/04/2015,62.56,24.96,229,Poor
Delhi,05/04/2015,78.61,27.75,234,Poor
Delhi,06/04/2015,119.7,32.83,343,Very Poor
Delhi,07/04/2015,66.09,24.47,262,Poor
Delhi,08/04/2015,95.34,34.72,308,Very Poor
Delhi,09/04/2015,63.57,35.15,293,Poor
Delhi,10/04/2015,96.56,52.77,290,Poor
Delhi,11/04/2015,131.39,59.52,375,Very Poor
Delhi,12/04/2015,75.35,45.3,293,Poor
Delhi,13/04/2015,86.49,50.3,247,Poor
Delhi,14/04/2015,77.07,42.65,232,Poor
Delhi,15/04/2015,98.79,47.41,316,Very Poor
Delhi,16/04/2015,81.81,44.06,295,Poor
Delhi,17/04/2015,65.78,40.09,246,Poor
Delhi,18/04/2015,119.82,51.11,378,Very Poor
Delhi,19/04/2015,125.53,64.73,406,Severe
Delhi,20/04/2015,121.51,60.41,392,Very Poor
Delhi,21/04/2015,114.5,50.7,391,Very Poor
Delhi,22/04/2015,101.83,55.27,368,Very Poor
Delhi,23/04/2015,118.57,76.46,365,Very Poor
Delhi,24/04/2015,143.22,88.61,383,Very Poor
Delhi,25/04/2015,106.76,58.87,367,Very Poor
Delhi,26/04/2015,65.36,31.23,334,Very Poor
Delhi,27/04/2015,67.08,35.54,258,Poor
Delhi,28/04/2015,81.37,34.88,234,Poor
Delhi,29/04/2015,63.76,42.98,257,Poor
Delhi,30/04/2015,60.56,43.9,259,Poor
Delhi,01/05/2015,76.1,42.99,279,Poor
Delhi,02/05/2015,72.66,62.09,312,Very Poor
Delhi,03/05/2015,121.94,83.3,372,Very Poor
Delhi,04/05/2015,108.98,85.5,387,Very Poor
Delhi,05/05/2015,145.99,107.85,408,Severe
Delhi,06/05/2015,171.33,87.88,398,Very Poor
Delhi,07/05/2015,117.76,63.18,403,Severe
Delhi,08/05/2015,90.66,56.54,361,Very Poor
Delhi,09/05/2015,106.4,63.57,378,Very Poor
Delhi,10/05/2015,101.21,57.51,381,Very Poor
Delhi,11/05/2015,97.57,42.7,388,Very Poor
Delhi,12/05/2015,96.34,43.04,346,Very Poor
Delhi,13/05/2015,83.42,48.61,328,Very Poor
Delhi,14/05/2015,78.06,42.22,291,Poor
Delhi,15/05/2015,97.87,63.55,396,Very Poor
Delhi,16/05/2015,77.52,75.5,297,Poor
Delhi,17/05/2015,97.16,57.63,345,Very Poor
Delhi,18/05/2015,66.85,47.64,296,Poor
Delhi,19/05/2015,89.85,75.47,319,Very Poor
Delhi,20/05/2015,67.41,52.69,282,Poor
Delhi,21/05/2015,75.54,53.03,352,Very Poor
Delhi,22/05/2015,67.91,56.84,338,Very Poor
Delhi,23/05/2015,69.02,52.79,321,Very Poor
Delhi,24/05/2015,79.1,56.29,295,Poor
Delhi,25/05/2015,117.27,60.65,344,Very Poor
Delhi,26/05/2015,96.09,51.77,337,Very Poor
Delhi,27/05/2015,84.71,70.43,355,Very Poor
Delhi,28/05/2015,182.76,72.67,371,Very Poor
Delhi,29/05/2015,106.61,64.94,414,Severe
Delhi,30/05/2015,92.68,65.26,366,Very Poor
Delhi,31/05/2015,73.62,41.86,346,Very Poor
Delhi,01/06/2015,49.42,48.55,289,Poor
Delhi,02/06/2015,52.51,54.29,297,Poor
Delhi,03/06/2015,65.28,65.25,268,Poor
Delhi,04/06/2015,85.45,62.38,259,Poor
Delhi,05/06/2015,83.02,62.63,327,Very Poor
Delhi,06/06/2015,44.54,46.37,384,Very Poor
Delhi,07/06/2015,85.03,77.07,299,Poor
Delhi,08/06/2015,137.7,109.34,282,Poor
Delhi,09/06/2015,136.05,76.88,442,Severe
Delhi,10/06/2015,63.77,31.27,309,Very Poor
Delhi,11/06/2015,115.57,32.99,270,Poor
Delhi,12/06/2015,83.29,36.36,239,Poor
Delhi,13/06/2015,73.7,52.9,214,Poor
Delhi,14/06/2015,74.56,68.76,166,Moderate
Delhi,15/06/2015,106.11,72.79,234,Poor
Delhi,16/06/2015,132.21,81.57,331,Very Poor
Delhi,17/06/2015,123.56,70.96,327,Very Poor
Delhi,18/06/2015,132.21,94.25,313,Very Poor
Delhi,19/06/2015,110.65,65.21,284,Poor
Delhi,20/06/2015,80.31,52.7,239,Poor
Delhi,21/06/2015,59.73,50.78,149,Moderate
Delhi,22/06/2015,85.4,58.88,172,Moderate
Delhi,23/06/2015,101.99,61.18,226,Poor
Delhi,24/06/2015,126.07,60.31,261,Poor
Delhi,25/06/2015,37.59,44.72,188,Moderate
Delhi,26/06/2015,76,46.88,192,Moderate
Delhi,27/06/2015,69.46,38.55,207,Poor
Delhi,28/06/2015,79.84,47.19,219,Poor
Delhi,29/06/2015,48.5,38.37,193,Moderate
Delhi,30/06/2015,53.79,46.06,170,Moderate
Delhi,01/07/2015,57.99,49.64,185,Moderate
Delhi,02/07/2015,67.12,52.45,220,Poor
Delhi,03/07/2015,65.25,37.09,225,Poor
