DATE,temp,humidity,windspeed,,,,,,
01/05/2022,33.9,32.4,22.3,,,,,,
02/05/2022,34.1,41.7,22.3,,,,,,
03/05/2022,33.2,49.2,20.5,,,,,,
04/05/2022,31.1,54.8,27.7,,,,,,
05/05/2022,30,53.2,9.8,,,,,,
06/05/2022,32.3,44.5,17.9,,,,,, 
07/05/2022,33.4,36.2,11.2,,,,,,
08/05/2022,33.6,39.6,18.4,,,,,,
09/05/2022,33.8,45.3,20.5,,,,,,
10/05/2022,33.8,45.9,22.3,,,,,,
11/05/2022,34.6,44.4,14.8,,,,,,
12/05/2022,35.9,41.8,16.6,,,,,,
13/05/2022,35,45.9,18.4,,,,,,
14/05/2022,37.2,28.4,18.3,,,,,,
15/05/2022,37,21.3,20,,,,,,
16/05/2022,37.4,18.1,20.6,,,,,,
17/05/2022,34.6,31.2,13,,,,,,
18/05/2022,35.8,31,27.7,,,,,,
19/05/2022,36.2,32.6,14.8,,,,,,
20/05/2022,37,30.6,27.7,,,,,,
21/05/2022,34.8,30.8,26.9,,,,,,
22/05/2022,32.2,44.9,20.5,,,,,,
23/05/2022,25.7,71.2,40.7,,,,,,
24/05/2022,26.3,75.1,63,,,,,,
25/05/2022,29.1,66.6,13,,,,,,
26/05/2022,30.6,59.1,11.2,,,,,,
27/05/2022,32.4,50.5,28.2,,,,,,
28/05/2022,34.4,46.6,13,,,,,,
29/05/2022,34,50.4,14.8,,,,,,
30/05/2022,31.4,59.4,16.6,,,,,,
31/05/2022,32.9,49.2,9.4,,,,,,
01/06/2022,35,38.7,11.2,,,,,,
02/06/2022,35.4,32.8,10.8,,,,,,
03/06/2022,35.6,28.5,15.4,,,,,,
04/06/2022,36.5,27,16.6,,,,,,
05/06/2022,37.3,20.8,17.4,,,,,,
06/06/2022,36.8,23.8,18,,,,,,
07/06/2022,37.3,22.2,23.2,,,,,,
08/06/2022,37.3,21.5,29.6,,,,,,
09/06/2022,37.5,24.6,16.3,,,,,,
10/06/2022,37.8,26.1,30.4,,,,,,
11/06/2022,37.7,22.1,27.4,,,,,,
12/06/2022,37.7,24.7,21.1,,,,,,
13/06/2022,37.6,29.2,16.6,,,,,,
14/06/2022,35.3,38,21.4,,,,,,
15/06/2022,36.1,39.3,23,,,,,,
16/06/2022,34.1,46.1,23.2,,,,,,
17/06/2022,29.2,70.8,19.3,,,,,,
18/06/2022,28.9,74.1,18,,,,,,
19/06/2022,28.3,74.4,16.6,,,,,,
20/06/2022,29,65.6,14.4,,,,,,
21/06/2022,30.2,61.2,18.4,,,,,,
22/06/2022,31,59.3,18.4,,,,,,
23/06/2022,33.1,48.1,20.5,,,,,,
24/06/2022,33.3,38.6,14.8,,,,,,
25/06/2022,34.3,34.8,14.8,,,,,,
26/06/2022,35,48,24.1,,,,,,
27/06/2022,35.7,51.1,18.4,,,,,,
28/06/2022,35.9,53.1,16.6,,,,,,
29/06/2022,34.9,53.8,18.4,,,,,,
30/06/2022,27.7,88.2,20.5,,,,,,
01/07/2022,28.2,88.6,13,,,,,,
02/07/2022,31,72.9,15.3,,,,,,
03/07/2022,33.1,57.4,15.8,,,,,,
04/07/2022,33.5,64.1,11.2,,,,,,
05/07/2022,33.9,64.5,13.7,,,,,,
06/07/2022,34.4,63,18.4,,,,,,
07/07/2022,34.6,59.3,18.4,,,,,,
08/07/2022,34.9,54.8,14.8,,,,,,
09/07/2022,32,66.5,22.3,,,,,,
10/07/2022,31,73.6,18.4,,,,,,
11/07/2022,31.8,67.9,16.9,,,,,,
12/07/2022,30.3,80.1,14.7,,,,,,
13/07/2022,31.5,73.3,13,,,,,,
14/07/2022,32.3,67.6,16.6,,,,,,
15/07/2022,32.9,63.7,20.5,,,,,,
16/07/2022,29.4,80.4,22.3,,,,,,
17/07/2022,29.9,81.9,15.3,,,,,,
18/07/2022,33.2,68.8,13,,,,,,
19/07/2022,32.4,73.5,17.1,,,,,,
20/07/2022,29.7,84,22.3,,,,,,
21/07/2022,29,84,11.2,,,,,,
22/07/2022,29.4,86.7,15.4,,,,,,
23/07/2022,29.7,85.6,18.4,,,,,,
24/07/2022,30,82.5,22.5,,,,,,
25/07/2022,30,80.3,21.5,,,,,,
26/07/2022,29.4,81,20.5,,,,,,
27/07/2022,30,80,16.6,,,,,,
28/07/2022,28.6,86.3,11.2,,,,,,
29/07/2022,28,89.2,11.2,,,,,,
30/07/2022,28.4,86.9,16.6,,,,,,
31/07/2022,28.7,84.3,11.2,,,,,,
01/08/2022,29.7,79.6,13,,,,,,
02/08/2022,31,75.9,29,,,,,,
03/08/2022,30.8,76.1,14.8,,,,,,
04/08/2022,29.4,84.6,18.4,,,,,,
05/08/2022,27.9,92.1,13,,,,,,
06/08/2022,30.2,84.5,11.2,,,,,,
07/08/2022,27.6,93.3,27.7,,,,,,
08/08/2022,30.1,79.9,9.4,,,,,,
09/08/2022,32,75.3,16.6,,,,,,
10/08/2022,32.5,68.9,15.5,,,,,,
11/08/2022,29.6,73.9,18.5,,,,,,
12/08/2022,31.2,71.1,20.5,,,,,,
13/08/2022,30.9,73.4,16.6,,,,,,
14/08/2022,28.9,86.6,11.2,,,,,,
15/08/2022,29.3,81.3,18.4,,,,,,
16/08/2022,29.1,78.7,37.1,,,,,,
17/08/2022,29.2,76.8,22.3,,,,,,
18/08/2022,30.3,76.1,11.9,,,,,,
19/08/2022,31.1,71.6,17.4,,,,,,
20/08/2022,29.6,80.8,13,,,,,,
21/08/2022,30.9,76.7,11.2,,,,,,
22/08/2022,31.5,74.3,22.3,,,,,,
23/08/2022,30.7,71.4,27.7,,,,,,
24/08/2022,29.1,80.9,16.6,,,,,,
25/08/2022,30.1,72.3,11.2,,,,,,
26/08/2022,30.7,73,14.8,,,,,,
27/08/2022,30.7,70.2,20.1,,,,,,
28/08/2022,30.6,65.9,17.9,,,,,,
29/08/2022,30.3,66.9,18.4,,,,,,
30/08/2022,30.2,77.4,16.6,,,,,,
31/08/2022,31.5,66.9,14.8,,,,,,
01/09/2022,32.1,66.3,11.2,,,,,,
02/09/2022,32.1,62.9,13,,,,,,
03/09/2022,32.2,58.2,22.3,,,,,,
04/09/2022,32.3,56.6,16.2,,,,,,
05/09/2022,31.9,58.7,13.2,,,,,,
06/09/2022,31.7,59.4,14.8,,,,,,
07/09/2022,32.1,59.3,11.2,,,,,,
08/09/2022,32.2,61.8,9.4,,,,,,
09/09/2022,32.2,64.8,16.6,,,,,,
10/09/2022,31.6,71.9,14.8,,,,,,
11/09/2022,32.2,61.3,13,,,,,,
12/09/2022,31.8,62.8,18.4,,,,,,
13/09/2022,30,70.4,18.4,,,,,,
14/09/2022,28.5,78.6,20.9,,,,,,
17/09/2022,28.5,82.2,11.2,,,,,,
18/09/2022,29.5,73.6,9.4,,,,,,
19/09/2022,29.3,77.3,13,,,,,,
20/09/2022,28.8,77.1,11.2,,,,,,
21/09/2022,27.1,87.1,16.6,,,,,,
22/09/2022,25.4,95.9,16.6,,,,,,
23/09/2022,25,98.2,13,,,,,,
24/09/2022,25.3,97.2,20.5,,,,,,
25/09/2022,27,84.8,11.2,,,,,,
26/09/2022,28.1,82.4,13,,,,,,
27/09/2022,28.6,76.5,11.2,,,,,,
28/09/2022,29.2,71.1,13,,,,,,
29/09/2022,28.8,71.6,14.8,,,,,,
30/09/2022,28.9,73.5,13,,,,,,
01/10/2022,29.1,72,13,,,,,,
02/10/2022,29.5,64.1,16.6,,,,,,
03/10/2022,29,59.4,24.4,,,,,,
04/10/2022,29.1,63.3,11.2,,,,,,
05/10/2022,28.7,69.7,9.4,,,,,,
06/10/2022,26,78.3,16.6,,,,,,
07/10/2022,23.9,87.3,16.9,,,,,,
08/10/2022,22.5,96.9,18.4,,,,,,
09/10/2022,22,99,18.4,,,,,,
10/10/2022,22,97.2,14.8,,,,,,
11/10/2022,24.8,87.1,9.4,,,,,,
12/10/2022,25.3,81.7,9.4,,,,,,
13/10/2022,25.4,72.7,17.6,,,,,,
14/10/2022,25.5,71.6,13,,,,,,
15/10/2022,25.8,69.8,13,,,,,,
16/10/2022,26.2,61,7.6,,,,,,
17/10/2022,26.5,56,10.2,,,,,,
18/10/2022,26,55.6,7.6,,,,,,
19/10/2022,26.5,50.8,9.4,,,,,,
20/10/2022,26.2,54.1,7.6,,,,,,
21/10/2022,26.2,55.3,7.6,,,,,,
22/10/2022,25.2,56.8,13,,,,,,
23/10/2022,23.9,55,9.4,,,,,,
24/10/2022,23.6,60.1,11.2,,,,,,
25/10/2022,23.8,53.7,16.6,,,,,,
26/10/2022,24.1,60.9,7.6,,,,,,
27/10/2022,24.3,59.7,9.4,,,,,,
28/10/2022,24,64.5,5.4,,,,,,
29/10/2022,23.8,68.2,9.2,,,,,,
30/10/2022,23.3,62,9.4,,,,,,
31/10/2022,23.4,66,6.4,,,,,,
01/11/2022,24.6,62.6,7.6,,,,,,
02/11/2022,24,64.6,18.4,,,,,,
03/11/2022,23.9,65.1,9.4,,,,,,
04/11/2022,24.4,66.9,7.6,,,,,,
05/11/2022,24,78.3,13,,,,,,
06/11/2022,24.8,72.3,13,,,,,,
07/11/2022,25,64.1,9.4,,,,,,
08/11/2022,23.7,69.5,13,,,,,,
09/11/2022,23.4,60.6,7.6,,,,,,
10/11/2022,23.5,64.6,13,,,,,,
11/11/2022,21.8,61.9,20.5,,,,,,
12/11/2022,21,53.4,16.6,,,,,,
13/11/2022,20.5,56.7,16.6,,,,,,
14/11/2022,22.6,55.4,11.2,,,,,,
15/11/2022,22,56.5,9.4,,,,,,
16/11/2022,20.6,52.9,16.6,,,,,,
17/11/2022,18.7,57.4,18.4,,,,,,
18/11/2022,18.6,54.3,14.8,,,,,,
19/11/2022,18.7,54.7,9.4,,,,,,
20/11/2022,18.7,55.7,11.2,,,,,,
21/11/2022,18.6,58.5,14.8,,,,,,
22/11/2022,18.6,54.4,14.8,,,,,,
23/11/2022,18.5,49.6,18.4,,,,,,
24/11/2022,18.3,51.3,11.2,,,,,,
25/11/2022,18.3,54.6,11.2,,,,,,
26/11/2022,18.2,56.4,13,,,,,,
27/11/2022,17.6,61.6,7.6,,,,,,
28/11/2022,17.8,61.5,6.9,,,,,,
29/11/2022,17.5,65.3,5.4,,,,,,
30/11/2022,17.5,65.9,11.2,,,,,,
01/12/2022,17.4,69,13,,,,,,
02/12/2022,17.8,65.4,6.9,,,,,,
03/12/2022,17.7,70,5.4,,,,,,
04/12/2022,17.5,74.1,9.4,,,,,,
05/12/2022,16.7,69.3,10.4,,,,,,
06/12/2022,16,70.7,15,,,,,,
07/12/2022,16.2,67.3,18.4,,,,,,
08/12/2022,17.1,62.6,16.6,,,,,,
09/12/2022,17.6,62.2,14.8,,,,,,
10/12/2022,17.6,69.3,11.2,,,,,,
11/12/2022,18,67,11.2,,,,,,
12/12/2022,17.6,61,13,,,,,,
13/12/2022,17.7,55.3,18.4,,,,,,
14/12/2022,16.6,57.3,16.6,,,,,,
15/12/2022,15,56.4,13,,,,,,
16/12/2022,15.1,58.5,11.2,,,,,,
17/12/2022,15.2,61.7,11.2,,,,,,
18/12/2022,15.1,71.7,11.2,,,,,,
19/12/2022,14.7,74.7,7.6,,,,,,
20/12/2022,13.7,79,10.6,,,,,,
21/12/2022,13.6,81.3,9.4,,,,,,
22/12/2022,12.4,84.2,9.4,,,,,,
23/12/2022,12.6,80.5,9.4,,,,,,
24/12/2022,11.8,80.9,13,,,,,,
25/12/2022,10,90.1,16.6,,,,,,
26/12/2022,9,95.6,9.4,,,,,,
27/12/2022,10.3,88.7,14.2,,,,,,
28/12/2022,13.2,74.1,19.4,,,,,,
29/12/2022,14.9,68.8,11.2,,,,,,
30/12/2022,15.6,75.2,13,,,,,,
31/12/2022,13.9,84.9,18.4,,,,,,
01/01/2023,13.4,79.8,9.4,,,,,,
02/01/2023,12.4,87.9,9.4,,,,,,
03/01/2023,11.2,85.6,9.4,,,,,,
04/01/2023,9.6,90.1,11.2,,,,,,
05/01/2023,9.7,83,8.7,,,,,,
06/01/2023,9.1,87.7,11.2,,,,,,
07/01/2023,8.3,89.2,11.2,,,,,,
08/01/2023,9.6,85.3,9.4,,,,,,
09/01/2023,11,91.8,7.6,,,,,,
10/01/2023,11.1,88.6,11.8,,,,,,
11/01/2023,11.9,87.6,18.4,,,,,,
12/01/2023,14.4,87,14.8,,,,,,
13/01/2023,15.1,90.5,13,,,,,,
14/01/2023,13,82,18.4,,,,,,
15/01/2023,10.5,59.6,21.1,,,,,,
16/01/2023,10.6,61.2,13,,,,,,
17/01/2023,11.3,55.1,14.8,,,,,,
18/01/2023,11,60.1,11.2,,,,,,
19/01/2023,14.3,54.4,7.6,,,,,,
20/01/2023,16.2,62.1,13,,,,,,
21/01/2023,15.1,80,7.6,,,,,,
22/01/2023,15.6,72.4,9.4,,,,,,
23/01/2023,16.6,68.2,11.2,,,,,,
24/01/2023,17.1,81.5,16.6,,,,,,
25/01/2023,15.5,91.8,11.2,,,,,,
26/01/2023,14.2,94.1,14.8,,,,,,
27/01/2023,12.9,65.8,16.6,,,,,,
28/01/2023,13.5,68.6,13,,,,,,
29/01/2023,13,91.8,14.8,,,,,,
30/01/2023,14.5,93.5,27.7,,,,,,
31/01/2023,14.7,92.9,19.7,,,,,,
01/02/2023,14.2,82,18.4,,,,,,
02/02/2023,15.8,68,18.4,,,,,,
03/02/2023,16.2,68.8,14.8,,,,,,
04/02/2023,17.2,65.8,18.4,,,,,,
05/02/2023,17.5,67.1,14.8,,,,,,
06/02/2023,19.7,65.2,9.6,,,,,,
07/02/2023,18.4,70,17.3,,,,,,
08/02/2023,16.9,60.1,17.3,,,,,,
09/02/2023,19.3,60.8,11.2,,,,,,
10/02/2023,21.2,61,9.6,,,,,,
11/02/2023,20.1,74.9,17.3,,,,,,
12/02/2023,17.3,49.7,23.8,,,,,,
13/02/2023,15.5,41.8,29.7,,,,,,
14/02/2023,17.2,43.2,18.4,,,,,,
15/02/2023,18.6,52.7,16.6,,,,,,
16/02/2023,19.8,67.8,7.6,,,,,,
17/02/2023,21.1,72.5,10.1,,,,,,
18/02/2023,21,70.9,11.2,,,,,,
19/02/2023,21.7,69.3,9,,,,,,
20/02/2023,23.3,63.3,13,,,,,,
21/02/2023,22.8,67.4,13,,,,,,
22/02/2023,21.3,71.5,10.1,,,,,,
23/02/2023,21,60.9,16.6,,,,,,
24/02/2023,20.7,58.3,13.7,,,,,,
25/02/2023,21.7,61.2,9.4,,,,,,
26/02/2023,23.3,56.3,9.4,,,,,,
27/02/2023,23.5,57,11.2,,,,,,
28/02/2023,22.8,55.1,18.4,,,,,,
01/03/2023,23.3,46.8,14.8,,,,,,
02/03/2023,23.5,56.6,13,,,,,,
03/03/2023,23.6,59.3,14.2,,,,,,
04/03/2023,22.3,57.3,17.4,,,,,,
05/03/2023,23.5,55,15.1,,,,,,
06/03/2023,23.1,57.2,18.4,,,,,,
07/03/2023,23.5,50.3,14.2,,,,,,
08/03/2023,23.4,51.6,13,,,,,,
09/03/2023,23.9,51,13,,,,,,
